                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.79386,                0.73687,                 1.2043,                0.82614,                0.81436,                0.86304,                0.64677,                 1.0231,                0.86317,                 1.3053,             0.00097629,             0.00097629,             0.00097629
                     50,                0.81393,                0.73489,                 1.2046,                0.77519,                0.87575,                0.86362,                0.65651,                 1.0347,                0.79084,                 1.2912,             0.00096686,             0.00096686,             0.00096686
                     51,                0.79063,                0.72221,                 1.1995,                0.79422,                0.83584,                0.86342,                0.64422,                 1.0524,                0.79219,                 1.3115,             0.00095743,             0.00095743,             0.00095743
                     52,                0.79144,                0.71872,                 1.2001,                0.83905,                0.78791,                0.85318,                0.65413,                 1.0505,                0.91128,                 1.3196,               0.000948,               0.000948,               0.000948
                     53,                0.78592,                0.71196,                 1.1936,                0.87608,                0.78119,                0.87284,                 0.6564,                 1.0146,                0.78383,                 1.2803,             0.00093857,             0.00093857,             0.00093857
                     54,                0.79363,                0.71483,                 1.1963,                0.82308,                0.84622,                0.88072,                0.67709,                 1.0048,                 0.7825,                 1.2589,             0.00092914,             0.00092914,             0.00092914
                     55,                0.79193,                0.70485,                 1.1959,                  0.802,                0.86348,                0.87071,                0.66769,                 1.0685,                0.81252,                 1.3151,              0.0009197,              0.0009197,              0.0009197
                     56,                0.78118,                0.70359,                 1.1878,                0.82066,                0.84721,                0.88198,                 0.6775,                0.97691,                0.74076,                 1.2648,             0.00091027,             0.00091027,             0.00091027
                     57,                 0.7777,                0.70266,                 1.1887,                0.85338,                 0.8278,                0.87065,                0.67168,                0.98744,                0.79381,                  1.271,             0.00090084,             0.00090084,             0.00090084
                     58,                0.78018,                0.69951,                 1.1909,                0.83023,                0.80897,                0.86157,                 0.6682,                 1.0241,                0.83316,                 1.2794,             0.00089141,             0.00089141,             0.00089141
                     59,                0.76364,                0.69212,                 1.1746,                0.79686,                0.84564,                0.86945,                  0.662,                 1.0256,                0.81668,                 1.2856,             0.00088198,             0.00088198,             0.00088198
                     60,                0.76844,                0.68547,                 1.1774,                0.84251,                0.81606,                0.88195,                0.68103,                0.99278,                 0.7975,                 1.2731,             0.00087255,             0.00087255,             0.00087255
                     61,                0.76371,                0.68127,                 1.1784,                0.80089,                0.81772,                0.84204,                 0.6577,                  1.042,                0.81881,                 1.3031,             0.00086312,             0.00086312,             0.00086312
                     62,                0.78305,                0.69986,                 1.1866,                0.79362,                0.89259,                0.86718,                0.67338,                  1.015,                0.73149,                 1.2656,             0.00085368,             0.00085368,             0.00085368
                     63,                0.75787,                0.67142,                 1.1776,                0.86018,                0.81923,                0.89192,                0.69782,                0.96796,                0.72972,                 1.2571,             0.00084425,             0.00084425,             0.00084425
                     64,                0.75566,                0.66535,                 1.1642,                 0.8199,                0.80979,                0.85406,                0.66202,                 1.0185,                0.77478,                 1.2767,             0.00083482,             0.00083482,             0.00083482
                     65,                0.75902,                0.67678,                 1.1727,                0.81175,                 0.8627,                0.88463,                0.69177,                 1.0004,                0.76096,                 1.2535,             0.00082539,             0.00082539,             0.00082539
                     66,                0.75069,                 0.6503,                 1.1662,                0.82335,                0.86742,                0.87833,                0.67344,                 1.0309,                0.74096,                  1.286,             0.00081596,             0.00081596,             0.00081596
                     67,                0.74861,                0.66685,                 1.1664,                0.84311,                0.84741,                0.89984,                0.68911,                 1.0029,                0.69878,                 1.2695,             0.00080653,             0.00080653,             0.00080653
                     68,                0.75675,                0.66077,                 1.1698,                0.79756,                0.87265,                0.87977,                0.67525,                 1.0118,                0.78969,                 1.2854,              0.0007971,              0.0007971,              0.0007971
                     69,                0.74542,                0.65282,                 1.1637,                0.83531,                0.85207,                0.87149,                0.67733,                 1.0016,                0.76115,                 1.2789,             0.00078766,             0.00078766,             0.00078766
                     70,                 0.7419,                0.64166,                 1.1601,                 0.8275,                0.84346,                0.87009,                0.67542,                 1.0066,                0.79852,                 1.2749,             0.00077823,             0.00077823,             0.00077823
                     71,                0.73444,                0.64751,                   1.16,                0.83047,                0.86133,                0.88158,                 0.6798,                 1.0204,                0.77292,                 1.3012,              0.0007688,              0.0007688,              0.0007688
                     72,                0.73223,                0.64534,                 1.1554,                 0.8042,                 0.8478,                0.86372,                0.65949,                0.99508,                0.76521,                 1.2518,             0.00075937,             0.00075937,             0.00075937
                     73,                0.74363,                0.64525,                 1.1625,                0.79923,                 0.8151,                0.85684,                0.66571,                0.98856,                0.74063,                 1.2728,             0.00074994,             0.00074994,             0.00074994
                     74,                0.72932,                0.63204,                 1.1578,                 0.8043,                0.87214,                0.88259,                0.66835,                0.99652,                0.75219,                 1.2897,             0.00074051,             0.00074051,             0.00074051
                     75,                0.73977,                0.63786,                 1.1639,                0.80008,                 0.8606,                0.87148,                0.66922,                 1.0319,                0.74271,                 1.2944,             0.00073108,             0.00073108,             0.00073108
                     76,                0.72783,                0.62665,                 1.1539,                0.83269,                0.82877,                0.86558,                0.66921,                 1.0186,                0.81762,                 1.2761,             0.00072164,             0.00072164,             0.00072164
                     77,                0.71814,                0.63295,                 1.1495,                0.80026,                 0.8367,                0.85897,                0.66405,                0.97463,                0.75935,                 1.2527,             0.00071221,             0.00071221,             0.00071221
                     78,                0.73119,                0.61623,                 1.1489,                0.81133,                0.86636,                0.88794,                 0.6947,                0.97172,                0.73528,                 1.2476,             0.00070278,             0.00070278,             0.00070278
                     79,                0.71896,                0.60735,                 1.1412,                0.82286,                0.86117,                0.87298,                0.67504,                0.99663,                0.72793,                 1.2744,             0.00069335,             0.00069335,             0.00069335
